file,layer,band,channel,chunks,directory_bytes,payload_bytes,coefficients,nonzero,mode0_chunks,mode1_chunks,mode2_chunks,nonzero_symbol_entropy_bits,entropy_lower_bound_bytes,actual_total_bytes
examples/kodak01_512_q82.brbr,0,0,0,1,20,1932,2752,2752,0,0,0,0.0,0,1952
examples/kodak01_512_q82.brbr,0,0,1,1,20,807,2752,2752,0,0,0,0.0,0,827
examples/kodak01_512_q82.brbr,0,0,2,1,20,701,2752,2752,0,0,0,0.0,0,721
examples/kodak01_512_q82.brbr,1,1,0,1,20,1581,2752,2752,0,0,0,0.0,0,1601
examples/kodak01_512_q82.brbr,1,1,1,1,20,389,2752,2752,0,0,0,0.0,0,409
examples/kodak01_512_q82.brbr,1,1,2,1,20,307,2752,2752,0,0,0,0.0,0,327
examples/kodak01_512_q82.brbr,1,2,0,1,20,1655,2752,2752,0,0,0,0.0,0,1675
examples/kodak01_512_q82.brbr,1,2,1,1,20,343,2752,2752,0,0,0,0.0,0,363
examples/kodak01_512_q82.brbr,1,2,2,1,20,342,2752,2752,0,0,0,0.0,0,362
examples/kodak01_512_q82.brbr,1,3,0,1,20,1227,2752,2752,0,0,0,0.0,0,1247
examples/kodak01_512_q82.brbr,1,3,1,1,20,95,2752,2752,0,0,0,0.0,0,115
examples/kodak01_512_q82.brbr,1,3,2,1,20,42,2752,2752,0,0,0,0.0,0,62
examples/kodak01_512_q82.brbr,2,1,0,1,20,3969,11008,11008,0,0,0,0.0,0,3989
examples/kodak01_512_q82.brbr,2,1,1,1,20,258,11008,11008,0,0,0,0.0,0,278
examples/kodak01_512_q82.brbr,2,1,2,1,20,120,11008,11008,0,0,0,0.0,0,140
examples/kodak01_512_q82.brbr,2,2,0,1,20,4244,10880,10880,0,0,0,0.0,0,4264
examples/kodak01_512_q82.brbr,2,2,1,1,20,198,10880,10880,0,0,0,0.0,0,218
examples/kodak01_512_q82.brbr,2,2,2,1,20,85,10880,10880,0,0,0,0.0,0,105
examples/kodak01_512_q82.brbr,2,3,0,1,20,2813,10880,10880,0,0,0,0.0,0,2833
examples/kodak01_512_q82.brbr,3,1,0,1,20,7422,43776,43776,0,0,0,0.0,0,7442
examples/kodak01_512_q82.brbr,3,2,0,1,20,8100,43520,43520,0,0,0,0.0,0,8120
examples/kodak01_512_q82.brbr,3,3,0,1,20,3086,43520,43520,0,0,0,0.0,0,3106
